course_id,course_code,course_name,category,programme,year,semester,batch,credits,course_type,theory_hours,lab_hours,tutorial_hours,total_weekly_hours,faculty_assigned,enrollment,prerequisite,co_requisite,assessment_pattern
1,ITEPMA11ESB1,Educational Statistics,Major,ITEP,1,1,Batch-1,5,Theory,5,0,1,6,Dr. Kusum Gupta,40,,,Project (50%) + Presentation (30%) + Viva (20%)
2,ITEPMA11CDAB1,Child Development and Learning II,Major,ITEP,1,1,Batch-1,5,Theory,5,0,1,6,Prof. Vinay Joshi,50,Basic Child,,Project (50%) + Presentation (30%) + Viva (20%)
3,ITEPMA11PEIB1,Peace Education III,Major,ITEP,1,1,Batch-1,4,Theory,4,0,1,5,Prof. Sanjay Joshi,41,,,Continuous Assessment (40%) + End-term (60%)
4,ITEPMA11SMAB1,School Management and Administration IV,Major,ITEP,1,1,Batch-1,3,Theory,3,0,1,4,Prof. Tarun Kumar,41,,,Practical (60%) + Theory (40%)
5,ITEPMA11EPAB1,Educational Planning and Management V,Major,ITEP,1,1,Batch-1,5,Theory,5,0,1,6,Dr. Shalini Gupta,46,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
6,ITEPMA11ETIB1,Educational Technology I,Major,ITEP,1,1,Batch-1,3,Theory,3,0,1,4,Prof. Arun Kumar,49,,,Continuous Assessment (40%) + End-term (60%)
7,ITEPMI11GSB1,Gender Studies,Minor,ITEP,1,1,Batch-1,2,Theory,2,0,0,2,Prof. Anil Patel,30,,,Practical (60%) + Theory (40%)
8,ITEPMI11SDIB1,Sustainable Development II,Minor,ITEP,1,1,Batch-1,3,Theory,3,0,1,4,Dr. Vandana Singh,28,,,Practical (60%) + Theory (40%)
9,ITEPMI11NIB1,Neuroscience III,Minor,ITEP,1,1,Batch-1,3,Theory,3,0,1,4,Prof. Bhushan Patel,21,,,Practical (60%) + Theory (40%)
10,ITEPMI11LSIB1,Library Science IV,Minor,ITEP,1,1,Batch-1,3,Theory,3,0,1,4,Prof. Gaurav Tiwari,27,,,Project (50%) + Presentation (30%) + Viva (20%)
11,ITEPMI11CRVB1,Comparative Religion V,Minor,ITEP,1,1,Batch-1,4,Theory,4,0,1,5,Dr. Shweta Saxena,25,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
12,ITEPSK11GDB1,Graphic Design,Skill-Based,ITEP,1,1,Batch-1,2,Practical,1,0,1,2,Dr. Sadhna Mishra,14,,,Project (50%) + Presentation (30%) + Viva (20%)
13,ITEPSK11FL(B1,Foreign Language (Spanish) II,Skill-Based,ITEP,1,1,Batch-1,3,Practical,2,0,1,3,Dr. Ravi Agarwal,17,,,Continuous Assessment (40%) + End-term (60%)
14,ITEPSK11VPIB1,Video Production III,Skill-Based,ITEP,1,1,Batch-1,3,Practical,2,0,1,3,Dr. Sunita Verma,17,,,Project (50%) + Presentation (30%) + Viva (20%)
15,ITEPSK11EIIB1,Emotional Intelligence IV,Skill-Based,ITEP,1,1,Batch-1,3,Practical,2,0,1,3,Prof. Amit Singh,20,,,Practical (60%) + Theory (40%)
16,ITEPSK11SLVB1,Sign Language V,Skill-Based,ITEP,1,1,Batch-1,2,Practical,1,0,1,2,Prof. Rakesh Gupta,20,,,Practical (60%) + Theory (40%)
17,ITEPAE11CSBB1,Cyber Security Basics,AEC,ITEP,1,1,Batch-1,3,Theory,3,0,1,4,Prof. Manish Agrawal,18,,,Practical (60%) + Theory (40%)
18,ITEPAE11IAWB1,Internet and Web Technologies II,AEC,ITEP,1,1,Batch-1,2,Theory,2,0,0,2,Dr. Manju Agarwal,19,,,Project (50%) + Presentation (30%) + Viva (20%)
19,ITEPAE11DLIB1,Digital Literacy III,AEC,ITEP,1,1,Batch-1,2,Theory,2,0,0,2,Dr. Rina Sharma,14,Basic Digital,,Project (50%) + Presentation (30%) + Viva (20%)
20,ITEPAE11LRIB1,Logical Reasoning IV,AEC,ITEP,1,1,Batch-1,2,Theory,2,0,0,2,Prof. Subhash Patel,19,Basic Logical,,Project (50%) + Presentation (30%) + Viva (20%)
21,ITEPAE11LRVB1,Logical Reasoning V,AEC,ITEP,1,1,Batch-1,2,Theory,2,0,0,2,Dr. Pooja Agarwal,15,,,Project (50%) + Presentation (30%) + Viva (20%)
22,ITEPVA11SLB1,Sustainable Living,VAC,ITEP,1,1,Batch-1,2,Theory,2,0,0,2,Dr. Smita Joshi,18,,,Practical (60%) + Theory (40%)
23,ITEPVA11SSAB1,Social Service and Outreach II,VAC,ITEP,1,1,Batch-1,2,Theory,2,0,0,2,Prof. Pramod Mishra,18,Basic Social,,Project (50%) + Presentation (30%) + Viva (20%)
24,ITEPVA11IKSB1,Indian Knowledge Systems III,VAC,ITEP,1,1,Batch-1,1,Theory,1,0,0,1,Dr. Rashmi Sinha,20,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
25,ITEPVA11WMIB1,Waste Management IV,VAC,ITEP,1,1,Batch-1,1,Theory,1,0,0,1,Prof. Vijay Prasad,16,,,Practical (60%) + Theory (40%)
26,ITEPVA11TAAB1,Traditional Arts and Crafts V,VAC,ITEP,1,1,Batch-1,1,Theory,1,0,0,1,Prof. Brijesh Tiwari,17,,,Practical (60%) + Theory (40%)
27,ITEPMA12EPB1,Educational Psychology,Major,ITEP,1,2,Batch-1,4,Theory,4,0,1,5,Dr. Sunita Verma,40,,,Practical (60%) + Theory (40%)
28,ITEPMA12EPAB1,Educational Planning and Management II,Major,ITEP,1,2,Batch-1,3,Theory,3,0,1,4,Dr. Anjali Thakur,39,Basic Educational,,Practical (60%) + Theory (40%)
29,ITEPMA12ARIB1,Action Research III,Major,ITEP,1,2,Batch-1,3,Theory,3,0,1,4,Prof. Rohit Singh,41,,,Continuous Assessment (40%) + End-term (60%)
30,ITEPMA12POEB1,Philosophy of Education IV,Major,ITEP,1,2,Batch-1,4,Theory,4,0,1,5,Prof. Mukesh Agarwal,40,,,Continuous Assessment (40%) + End-term (60%)
31,ITEPMA12CDAB1,Child Development and Learning V,Major,ITEP,1,2,Batch-1,5,Theory,5,0,1,6,Prof. Sanjay Kumar,43,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
32,ITEPMA12ETIB1,Educational Technology I,Major,ITEP,1,2,Batch-1,4,Theory,4,0,1,5,Dr. Anita Kulkarni,47,,,Project (50%) + Presentation (30%) + Viva (20%)
33,ITEPMI12GSB1,Gender Studies,Minor,ITEP,1,2,Batch-1,3,Theory,3,0,1,4,Prof. Sanjay Kumar,29,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
34,ITEPMI12CSIB1,Cognitive Science II,Minor,ITEP,1,2,Batch-1,4,Theory,4,0,1,5,Dr. Bharti Sharma,27,,,Practical (60%) + Theory (40%)
35,ITEPMI12DSIB1,Disability Studies III,Minor,ITEP,1,2,Batch-1,2,Theory,2,0,0,2,Dr. Nita Joshi,25,,,Practical (60%) + Theory (40%)
36,ITEPMI12SDIB1,Sustainable Development IV,Minor,ITEP,1,2,Batch-1,3,Theory,3,0,1,4,Dr. Usha Rani,31,,,Practical (60%) + Theory (40%)
37,ITEPMI12PSVB1,Peace Studies V,Minor,ITEP,1,2,Batch-1,2,Theory,2,0,0,2,Prof. Harish Chandra,24,,,Project (50%) + Presentation (30%) + Viva (20%)
38,ITEPSK12DMB1,Digital Marketing,Skill-Based,ITEP,1,2,Batch-1,2,Practical,1,0,1,2,Dr. Sudha Singh,19,,,Project (50%) + Presentation (30%) + Viva (20%)
39,ITEPSK12DMIB1,Digital Marketing II,Skill-Based,ITEP,1,2,Batch-1,2,Practical,1,0,1,2,Prof. Pankaj Verma,19,Basic Digital,,Continuous Assessment (40%) + End-term (60%)
40,ITEPSK12FLIB1,Financial Literacy III,Skill-Based,ITEP,1,2,Batch-1,2,Practical,1,0,1,2,Prof. Rohit Mehta,19,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
41,ITEPSK12AWIB1,Academic Writing IV,Skill-Based,ITEP,1,2,Batch-1,3,Practical,2,0,1,3,Prof. Sachin Patel,18,,,Practical (60%) + Theory (40%)
42,ITEPSK12CWVB1,Creative Writing V,Skill-Based,ITEP,1,2,Batch-1,2,Practical,1,0,1,2,Dr. Ravi Agarwal,15,,,Project (50%) + Presentation (30%) + Viva (20%)
43,ITEPAE12CSBB1,Cyber Security Basics,AEC,ITEP,1,2,Batch-1,3,Theory,3,0,1,4,Dr. Kusum Gupta,14,,,Continuous Assessment (40%) + End-term (60%)
44,ITEPAE12CSBB1,Cyber Security Basics II,AEC,ITEP,1,2,Batch-1,2,Theory,2,0,0,2,Dr. Sarita Singh,17,,,Continuous Assessment (40%) + End-term (60%)
45,ITEPAE12ECIB1,English Communication III,AEC,ITEP,1,2,Batch-1,2,Theory,2,0,0,2,Prof. Deepak Agarwal,17,,,Practical (60%) + Theory (40%)
46,ITEPAE12ILIB1,Information Literacy IV,AEC,ITEP,1,2,Batch-1,2,Theory,2,0,0,2,Dr. Sunita Verma,17,,,Practical (60%) + Theory (40%)
47,ITEPAE12ASVB1,Analytical Skills V,AEC,ITEP,1,2,Batch-1,2,Theory,2,0,0,2,Prof. Mukesh Yadav,14,,,Practical (60%) + Theory (40%)
48,ITEPVA12YAMB1,Yoga and Meditation,VAC,ITEP,1,2,Batch-1,1,Theory,1,0,0,1,Prof. Rohit Singh,17,Basic Yoga,,Mid-term (30%) + End-term (50%) + Assignment (20%)
49,ITEPVA12EAMB1,Ethics and Moral Values II,VAC,ITEP,1,2,Batch-1,1,Theory,1,0,0,1,Dr. Sunanda Jain,16,,,Project (50%) + Presentation (30%) + Viva (20%)
50,ITEPVA12CDIB1,Community Development III,VAC,ITEP,1,2,Batch-1,1,Theory,1,0,0,1,Prof. Ashok Yadav,14,Basic Community,,Mid-term (30%) + End-term (50%) + Assignment (20%)
51,ITEPVA12EAMB1,Ethics and Moral Values IV,VAC,ITEP,1,2,Batch-1,2,Theory,2,0,0,2,Prof. Naresh Chandra,14,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
52,ITEPVA12HVVB1,Human Values V,VAC,ITEP,1,2,Batch-1,1,Theory,1,0,0,1,Prof. Rohit Mehta,19,,,Project (50%) + Presentation (30%) + Viva (20%)
53,ITEPMA23SOEB1,Sociology of Education,Major,ITEP,2,3,Batch-1,5,Theory,5,0,1,6,Dr. Sarita Bhardwaj,49,,,Practical (60%) + Theory (40%)
54,ITEPMA23GACB1,Guidance and Counselling II,Major,ITEP,2,3,Batch-1,3,Theory,3,0,1,4,Prof. Brijesh Tiwari,36,,,Project (50%) + Presentation (30%) + Viva (20%)
55,ITEPMA23SOEB1,Sociology of Education III,Major,ITEP,2,3,Batch-1,3,Theory,3,0,1,4,Prof. Amit Singh,42,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
56,ITEPMA23EPAB1,Educational Planning and Management IV,Major,ITEP,2,3,Batch-1,3,Theory,3,0,1,4,Prof. Sanjay Kumar,37,,,Project (50%) + Presentation (30%) + Viva (20%)
57,ITEPMA23AACB1,Adult and Continuing Education V,Major,ITEP,2,3,Batch-1,5,Theory,5,0,1,6,Dr. Rekha Singh,31,,,Continuous Assessment (40%) + End-term (60%)
58,ITEPMA23GACB1,Guidance and Counselling I,Major,ITEP,2,3,Batch-1,4,Theory,4,0,1,5,Prof. Mohan Gupta,33,,,Project (50%) + Presentation (30%) + Viva (20%)
59,ITEPMI23PAB1,Public Administration,Minor,ITEP,2,3,Batch-1,4,Theory,4,0,1,5,Prof. Pankaj Verma,30,Basic Public,,Continuous Assessment (40%) + End-term (60%)
60,ITEPMI23NIB1,Neuroscience II,Minor,ITEP,2,3,Batch-1,2,Theory,2,0,0,2,Prof. Naveen Joshi,27,,,Project (50%) + Presentation (30%) + Viva (20%)
61,ITEPMI23PIB1,Psychology III,Minor,ITEP,2,3,Batch-1,4,Theory,4,0,1,5,Dr. Pushpa Jain,25,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
62,ITEPMI23LSIB1,Library Science IV,Minor,ITEP,2,3,Batch-1,2,Theory,2,0,0,2,Prof. Sunil Bhatt,23,,,Practical (60%) + Theory (40%)
63,ITEPMI23ASVB1,Area Studies V,Minor,ITEP,2,3,Batch-1,2,Theory,2,0,0,2,Dr. Shweta Saxena,18,,,Project (50%) + Presentation (30%) + Viva (20%)
64,ITEPSK23CCB1,Content Creation,Skill-Based,ITEP,2,3,Batch-1,3,Practical,2,0,1,3,Prof. Anil Kumar,13,Basic Content,,Continuous Assessment (40%) + End-term (60%)
65,ITEPSK23CWIB1,Creative Writing II,Skill-Based,ITEP,2,3,Batch-1,2,Practical,1,0,1,2,Prof. Ramesh Verma,16,,,Project (50%) + Presentation (30%) + Viva (20%)
66,ITEPSK23CTIB1,Critical Thinking III,Skill-Based,ITEP,2,3,Batch-1,2,Practical,1,0,1,2,Dr. Nita Joshi,20,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
67,ITEPSK23SLIB1,Sign Language IV,Skill-Based,ITEP,2,3,Batch-1,3,Practical,2,0,1,3,Prof. Sachin Patel,14,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
68,ITEPSK23ESVB1,Entrepreneurship Skills V,Skill-Based,ITEP,2,3,Batch-1,2,Practical,1,0,1,2,Prof. Bhushan Patel,18,,,Continuous Assessment (40%) + End-term (60%)
69,ITEPAE23CSBB1,Cyber Security Basics,AEC,ITEP,2,3,Batch-1,2,Theory,2,0,0,2,Dr. Anita Kulkarni,18,,,Continuous Assessment (40%) + End-term (60%)
70,ITEPAE23HCIB1,Hindi Communication II,AEC,ITEP,2,3,Batch-1,2,Theory,2,0,0,2,Dr. Smita Joshi,13,,,Continuous Assessment (40%) + End-term (60%)
