course_id,course_code,course_name,category,programme,year,semester,batch,credits,course_type,theory_hours,lab_hours,tutorial_hours,total_weekly_hours,faculty_assigned,enrollment,prerequisite,co_requisite,assessment_pattern
1,MEDMA11CAPB1,Curriculum and Pedagogy,Major,M.Ed,1,1,Batch-1,4,Theory,4,0,1,5,Prof. Anuj Kumar,17,Basic Curriculum,,Continuous Assessment (40%) + End-term (60%)
2,MEDMA11ELIB1,Educational Leadership II,Major,M.Ed,1,1,Batch-1,3,Theory,3,0,1,4,Dr. Nidhi Goyal,31,,,Practical (60%) + Theory (40%)
3,MEDMA11CAPB1,Curriculum and Pedagogy III,Major,M.Ed,1,1,Batch-1,3,Theory,3,0,1,4,Prof. Sunil Bhatt,25,,,Practical (60%) + Theory (40%)
4,MEDMA11LDIB1,Learning Disabilities IV,Major,M.Ed,1,1,Batch-1,5,Theory,5,0,1,6,Dr. Sudha Rani,28,,,Continuous Assessment (40%) + End-term (60%)
5,MEDMA11AAEB1,Assessment and Evaluation V,Major,M.Ed,1,1,Batch-1,3,Theory,3,0,1,4,Dr. Archana Singh,23,Basic Assessment,,Practical (60%) + Theory (40%)
6,MEDMA11RMIB1,Research Methods in Education I,Major,M.Ed,1,1,Batch-1,5,Theory,5,0,1,6,Dr. Neha Bansal,30,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
7,MEDMI11NB1,Neuroscience,Minor,M.Ed,1,1,Batch-1,4,Theory,4,0,1,5,Dr. Urvashi Sharma,18,,,Project (50%) + Presentation (30%) + Viva (20%)
8,MEDMI11TSIB1,Translation Studies II,Minor,M.Ed,1,1,Batch-1,2,Theory,2,0,0,2,Dr. Sadhna Mishra,18,,,Project (50%) + Presentation (30%) + Viva (20%)
9,MEDMI11PIB1,Psychology III,Minor,M.Ed,1,1,Batch-1,4,Theory,4,0,1,5,Dr. Pooja Agarwal,9,,,Project (50%) + Presentation (30%) + Viva (20%)
10,MEDMI11RDIB1,Rural Development IV,Minor,M.Ed,1,1,Batch-1,3,Theory,3,0,1,4,Prof. Mahesh Singh,21,,,Mid-term (30%) + End-term (50%) + Assignment (20%)
